Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl,cp_mstatus_vs_off,cp_mstatus_fs_off,cp_vectorfp_mstatus_fs_state,cp_vectorfp_mstatus_fs_state_nonaffecting,cp_vectorfp_mstatus_fs_state_affecting_register,cp_vectorfp_mstatus_fs_state_affecting_csr
vmfle.vv,VVVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfle.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfgt.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfge.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmerge.vfm,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmv.v.f,VF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmv.f.s,FV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmv.s.f,VF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfslide1up.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfslide1down.vf,VVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfcvt.xu.f.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.xu.f.v,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.xu.f.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.x.f.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.x.f.v,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.x.f.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.rtz.xu.f.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.rtz.xu.f.v,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.rtz.xu.f.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.rtz.x.f.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.rtz.x.f.v,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.rtz.x.f.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.f.xu.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.f.xu.v,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.f.xu.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.f.x.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.f.x.v,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.f.x.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfwcvt.f.f.v,VVM,x,x,,x,,,x,x,x,x,x,x,x,x,x
vfncvt.f.f.w,VVM,x,x,,,x,,x,x,x,x,x,x,x,x,x
vfncvt.rod.f.f.w,VVM,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfclass.v,VVM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
